Time:ulong,Power:float,Energy:float
"0","12.71919","6.3"
"500000","12.29448","12.3"
"1000000","12.29448","18.7"
"1500000","12.29448","24.7"
"2000000","12.29448","30.7"
"2500000","12.29448","37.0"
"3000000","12.29448","43.1"
"3500000","12.29448","49.4"
"4000000","12.29448","55.4"
"4500000","12.29448","61.8"
"5000000","12.29448","67.8"
"5500000","12.29448","74.1"
"6000000","12.29448","80.1"
"6500000","12.29448","86.2"
"7000000","12.29448","92.5"
"7500000","12.29448","98.5"
"8000000","12.43605","104.9"
"8500000","12.43605","110.9"
"9000000","12.43605","117.2"
"9500000","12.43605","123.2"
"10000000","12.43605","129.6"
"10500000","12.29448","135.6"
"11000000","12.29448","141.6"
"11500000","12.29448","148.0"
"12000000","12.29448","154.0"
"12500000","12.29448","160.3"
"13000000","12.29448","166.3"
"13500000","12.29448","172.7"
"14000000","12.29448","178.7"
"14500000","12.29448","185.1"
"15000000","12.29448","191.1"
"15500000","12.29448","197.1"
"16000000","12.29448","203.4"
"16500000","12.29448","209.5"
"17000000","12.29448","215.8"
"17500000","12.29448","221.8"
"18000000","12.29448","228.2"
"18500000","12.29448","234.2"
"19000000","12.29448","240.2"
"19500000","12.29448","246.5"
"20000000","12.29448","252.6"
"20500000","12.43605","258.9"
"21000000","12.43605","264.9"
"21500000","12.43605","271.3"
"22000000","12.43605","277.3"
"22500000","12.43605","283.6"
"23000000","12.29448","289.6"
"23500000","12.29448","295.7"
"24000000","12.29448","302.0"
"24500000","12.29448","308.0"
"25000000","12.29448","314.4"
"25500000","12.29448","320.4"
"26000000","12.29448","326.4"
"26500000","12.29448","332.7"
"27000000","12.29448","338.8"
"27500000","12.29448","345.1"
"28000000","12.29448","351.1"
"28500000","12.29448","357.5"
"29000000","12.29448","363.5"
"29500000","12.29448","369.5"
"30000000","12.29448","375.8"
"30500000","12.29448","381.9"
"31000000","12.29448","388.2"
"31500000","12.29448","394.2"
"32000000","12.29448","400.2"
"32500000","12.29448","406.6"
"33000000","12.29448","412.6"
"33500000","12.29448","419.0"
"34000000","12.29448","425.0"
"34500000","12.29448","431.0"
"35000000","12.29448","437.3"
"35500000","12.29448","443.3"
"36000000","12.29448","449.7"
"36500000","12.29448","455.7"
"37000000","12.29448","462.1"
"37500000","12.29448","468.1"
"38000000","12.29448","474.1"
"38500000","12.29448","480.4"
"39000000","12.29448","486.4"
"39500000","12.29448","492.8"
"40000000","12.29448","498.8"
"40500000","12.29448","505.2"
"41000000","12.29448","511.2"
"41500000","12.29448","517.2"
"42000000","12.29448","523.5"
"42500000","12.29448","529.5"
"43000000","12.29448","535.9"
"43500000","12.29448","541.9"
"44000000","12.29448","548.3"
"44500000","12.29448","554.3"
"45000000","12.29448","560.3"
"45500000","12.29448","566.6"
"46000000","12.29448","572.6"
"46500000","12.29448","579.0"
"47000000","12.29448","585.0"
"47500000","12.29448","591.0"
"48000000","12.43605","597.4"
"48500000","12.43605","603.4"
"49000000","12.43605","609.7"
"49500000","12.43605","615.7"
"50000000","12.43605","622.1"
"50500000","12.29448","628.1"
"51000000","12.29448","634.1"
"51500000","12.29448","640.5"
"52000000","12.29448","646.5"
"52500000","12.29448","652.8"
"53000000","12.29448","658.8"
"53500000","12.29448","664.8"
"54000000","12.29448","671.2"
"54500000","12.29448","677.2"
"55000000","12.29448","683.6"
"55500000","12.29448","689.6"
"56000000","12.29448","695.9"
"56500000","12.29448","701.9"
"57000000","12.29448","707.9"
"57500000","12.29448","714.3"
"58000000","12.29448","720.3"
"58500000","12.29448","726.7"
"59000000","12.29448","732.7"
"59500000","12.29448","739.0"
"60000000","12.29448","745.0"
"60500000","12.29448","751.0"
"61000000","12.29448","757.4"
"61500000","12.29448","763.4"
"62000000","12.29448","769.8"
"62500000","12.29448","775.8"
"63000000","12.29448","781.8"
"63500000","12.29448","788.1"
"64000000","12.29448","794.1"
"64500000","12.29448","800.5"
"65000000","12.29448","806.5"
"65500000","12.29448","812.9"
"66000000","12.29448","818.9"
"66500000","12.29448","824.9"
"67000000","12.29448","831.2"
"67500000","12.29448","837.2"
"68000000","12.29448","843.6"
"68500000","12.29448","849.6"
"69000000","12.29448","856.0"
"69500000","12.29448","862.0"
"70000000","12.29448","868.0"
"70500000","12.29448","874.3"
"71000000","12.29448","880.3"
"71500000","12.29448","886.7"
"72000000","12.29448","892.7"
"72500000","12.29448","898.7"
"73000000","12.43605","905.1"
"73500000","12.43605","911.1"
"74000000","12.43605","917.4"
"74500000","12.43605","923.4"
"75000000","12.43605","929.8"
"75500000","12.29448","935.8"
"76000000","12.29448","941.8"
"76500000","12.29448","948.2"
"77000000","12.29448","954.2"
"77500000","12.29448","960.5"
"78000000","12.29448","966.5"
"78500000","12.29448","972.6"
"79000000","12.29448","978.9"
"79500000","12.29448","984.9"
"80000000","12.29448","991.3"
"80500000","12.29448","997.3"
"81000000","12.29448","1003.6"
"81500000","12.29448","1009.6"
"82000000","12.29448","1015.7"
"82500000","12.29448","1022.0"
"83000000","12.29448","1028.0"
"83500000","12.29448","1034.4"
"84000000","12.29448","1040.4"
"84500000","12.29448","1046.4"
"85000000","12.29448","1052.7"
"85500000","12.29448","1058.8"
"86000000","12.29448","1065.1"
"86500000","12.29448","1071.1"
"87000000","12.29448","1077.5"
"87500000","12.29448","1083.5"
"88000000","12.29448","1089.5"
"88500000","12.29448","1095.9"
"89000000","12.29448","1101.9"
"89500000","12.29448","1108.2"
"90000000","12.29448","1114.2"
"90500000","12.29448","1120.6"
"91000000","12.29448","1126.6"
"91500000","12.29448","1132.6"
"92000000","12.29448","1139.0"
"92500000","12.29448","1145.0"
"93000000","12.29448","1151.3"
"93500000","12.29448","1157.3"
"94000000","12.29448","1163.3"
"94500000","12.29448","1169.7"
"95000000","12.29448","1175.7"
"95500000","12.29448","1182.1"
"96000000","12.29448","1188.1"
"96500000","12.29448","1194.4"
"97000000","12.29448","1200.4"
"97500000","12.29448","1206.4"
"98000000","12.29448","1212.8"
"98500000","12.29448","1218.8"
"99000000","12.29448","1225.2"
"99500000","12.29448","1231.2"
"100000000","12.29448","1237.2"
"100500000","12.29448","1243.5"
"101000000","12.29448","1249.5"
"101500000","12.29448","1255.9"
"102000000","12.29448","1261.9"
"102500000","12.29448","1267.9"
"103000000","12.43605","1274.3"
"103500000","12.43605","1280.3"
"104000000","12.43605","1286.6"
"104500000","12.43605","1292.6"
"105000000","12.43605","1299.0"
"105500000","12.29448","1305.0"
"106000000","12.29448","1311.0"
"106500000","12.29448","1317.4"
"107000000","12.29448","1323.4"
"107500000","12.29448","1329.7"
"108000000","12.29448","1335.7"
"108500000","12.29448","1342.1"
"109000000","12.29448","1348.1"
"109500000","12.29448","1354.1"
"110000000","12.29448","1360.5"
"110500000","12.29448","1366.5"
"111000000","12.29448","1372.8"
"111500000","12.29448","1378.8"
"112000000","12.29448","1385.2"
"112500000","12.29448","1391.2"
"113000000","12.29448","1397.2"
"113500000","12.29448","1403.6"
"114000000","12.29448","1409.6"
"114500000","12.29448","1415.9"
"115000000","12.29448","1421.9"
"115500000","12.29448","1428.3"
"116000000","12.29448","1434.3"
"116500000","12.29448","1440.3"
"117000000","12.29448","1446.7"
"117500000","12.29448","1452.7"
"118000000","12.43605","1459.0"
"118500000","12.43605","1465.0"
"119000000","12.43605","1471.4"
"119500000","12.43605","1477.4"
"120000000","12.43605","1483.8"
"120500000","12.29448","1489.8"
"121000000","12.29448","1495.8"
"121500000","12.29448","1502.1"
"122000000","12.29448","1508.1"
"122500000","12.29448","1514.5"
"123000000","12.29448","1520.5"
"123500000","12.29448","1526.5"
"124000000","12.29448","1532.9"
"124500000","12.29448","1538.9"
"125000000","12.29448","1545.2"
"125500000","12.29448","1551.2"
"126000000","12.29448","1557.2"
"126500000","12.29448","1563.6"
"127000000","12.29448","1569.6"
"127500000","12.29448","1576.0"
"128000000","12.29448","1582.0"
"128500000","12.29448","1588.3"
"129000000","12.29448","1594.3"
"129500000","12.29448","1600.3"
"130000000","12.29448","1606.7"
"130500000","12.29448","1612.7"
"131000000","12.29448","1619.1"
"131500000","12.29448","1625.1"
"132000000","12.29448","1631.1"
"132500000","12.29448","1637.4"
"133000000","12.29448","1643.4"
"133500000","12.29448","1649.8"
"134000000","12.29448","1655.8"
"134500000","12.29448","1662.2"
"135000000","12.29448","1668.2"
"135500000","12.29448","1674.5"
"136000000","12.29448","1680.5"
"136500000","12.29448","1686.5"
"137000000","12.29448","1692.9"
"137500000","12.29448","1698.9"
"138000000","12.29448","1705.3"
"138500000","12.29448","1711.3"
"139000000","12.29448","1717.3"
"139500000","12.29448","1723.6"
"140000000","12.29448","1729.6"
"140500000","12.29448","1736.0"
"141000000","12.29448","1742.0"
"141500000","12.29448","1748.4"
"142000000","12.29448","1754.4"
"142500000","12.29448","1760.4"
"143000000","12.43605","1766.7"
"143500000","12.43605","1772.7"
"144000000","12.43605","1779.1"
"144500000","12.43605","1785.1"
"145000000","12.43605","1791.5"
"145500000","12.29448","1797.5"
"146000000","12.29448","1803.5"
"146500000","12.29448","1809.8"
"147000000","12.29448","1815.9"
"147500000","12.29448","1822.2"
"148000000","12.29448","1828.2"
"148500000","12.29448","1834.2"
"149000000","12.29448","1840.6"
"149500000","12.29448","1846.6"
"150000000","12.29448","1852.9"
"150500000","12.29448","1859.0"
"151000000","12.29448","1865.3"
"151500000","12.29448","1871.3"
"152000000","12.29448","1877.3"
"152500000","12.29448","1883.7"
"153000000","12.29448","1889.7"
"153500000","12.29448","1896.0"
"154000000","12.29448","1902.1"
"154500000","12.29448","1908.4"
"155000000","12.29448","1914.4"
"155500000","12.29448","1920.4"
